area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1056,2.0,1.0,351.63
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2600,5.0,3.0,1080.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1440,2.0,3.0,558.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1521,3.0,1.0,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,1.0,459.0
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1170,2.0,1.0,342.0
Super built-up  Area,18-May,Other Lagos Areas,4 BHK,General Lagos Estate,2732,4.0,,1836.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3300,4.0,,5400.0
Super built-up  Area,Ready To Move,Yaba,3 BHK,General Lagos Estate,1310,3.0,1.0,569.25
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,1020,6.0,,3330.0
Super built-up  Area,18-Feb,Lekki,3 BHK,General Lagos Estate,1800,2.0,2.0,630.0
Plot  Area,Ready To Move,Lekki,4 Bedroom,General Lagos Estate,2785,5.0,3.0,2655.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1000,2.0,1.0,342.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,2.0,360.0
Plot  Area,Ready To Move,Sangotedo,3 Bedroom,General Lagos Estate,2250,3.0,2.0,1332.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1175,2.0,2.0,661.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1180,3.0,2.0,432.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1540,3.0,3.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2770,4.0,2.0,2610.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,2.0,432.0
Built-up  Area,Ready To Move,Mowe,1 BHK,General Lagos Estate,600,1.0,1.0,135.0
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1755,3.0,1.0,1098.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2800,5.0,2.0,3420.0
Super built-up  Area,Ready To Move,Abule,3 BHK,General Lagos Estate,1767,3.0,1.0,927.0
Super built-up  Area,18-Nov,Other Lagos Areas,1 RK,General Lagos Estate,510,1.0,0.0,227.25
Super built-up  Area,18-May,Other Lagos Areas,3 BHK,General Lagos Estate,1250,3.0,2.0,504.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,660,1.0,1.0,207.9
Built-up  Area,20-Dec,Lekki,3 BHK,General Lagos Estate,1610,3.0,2.0,729.0
Super built-up  Area,17-Oct,Other Lagos Areas,2 BHK,General Lagos Estate,1151,2.0,2.0,438.93
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1025,2.0,1.0,423.0
Super built-up  Area,19-Dec,Festac,4 BHK,General Lagos Estate,2100 - 2850,4.0,0.0,1674.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1075,2.0,1.0,315.0
Super built-up  Area,Ready To Move,Eko Atlantic,3 BHK,General Lagos Estate,1760,2.0,2.0,1107.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1693,3.0,3.0,516.51
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1925,3.0,,1125.0
Super built-up  Area,21-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,700,2.0,1.0,324.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1070,2.0,1.0,409.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1724,3.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1290,2.0,2.0,505.08
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1143,2.0,2.0,405.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1296,2.0,,729.0
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1254,3.0,2.0,342.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,600,1.0,0.0,342.0
Plot  Area,Ready To Move,Festac,1 Bedroom,General Lagos Estate,660,1.0,0.0,432.0
Super built-up  Area,19-Sep,Other Lagos Areas,2 BHK,General Lagos Estate,1330.74,2.0,2.0,826.11
Plot  Area,Ready To Move,Surulere,8 Bedroom,General Lagos Estate,600,9.0,,1800.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,970,2.0,0.0,297.0
Super built-up  Area,20-Sep,Lekki,2 BHK,General Lagos Estate,1459,2.0,1.0,853.3799999999999
Plot  Area,Ready To Move,Ebute Metta,2 Bedroom,General Lagos Estate,800,1.0,1.0,1170.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,869,2.0,1.0,324.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1270,2.0,1.0,450.0
Super built-up  Area,18-Mar,Other Lagos Areas,3 BHK,General Lagos Estate,1670,3.0,1.0,891.0
Built-up  Area,Ready To Move,Lekki,3 BHK,General Lagos Estate,2010,3.0,2.0,819.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1185,2.0,2.0,675.0
Super built-up  Area,Ready To Move,Festac,3 BHK,General Lagos Estate,1600,2.0,3.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,396.0
Built-up  Area,20-Feb,Other Lagos Areas,4 Bedroom,General Lagos Estate,3010 - 3410,,,1728.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1500,2.0,2.0,1665.0
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,1407,4.0,1.0,1350.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,840,2.0,2.0,405.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,4395,3.0,2.0,2160.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,845,2.0,1.0,495.0
Plot  Area,Ready To Move,Lekki,4 Bedroom,General Lagos Estate,5700,5.0,3.0,5850.0
Built-up  Area,Ready To Move,Abule Egba,2 BHK,General Lagos Estate,1160,2.0,2.0,396.0
Built-up  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,3000,8.0,0.0,1260.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,1.0,558.0
